0.00,00000000
0.08,00000001
0.09,00000010
0.10,00000011
0.11,00000100
0.12,00000101
0.13,00000110
0.14,00000111
0.15,00001000
0.16,00001001
0.17,00001010
0.18,00001011
0.19,00001100
0.20,00001101
0.21,00001110
0.22,00001111
0.23,00010000
0.24,00010001
0.25,00010010
0.26,00010011
0.27,00010100
0.28,00010101
0.29,00010110
0.30,00010111
0.31,00011000
0.32,00011001
0.33,00011010
0.34,00011011
0.35,00011100
0.36,00011101
0.37,00011110
0.39,00011111
0.40,00100000
0.42,00100001
0.43,00100010
0.44,00100011
0.48,00100100
0.49,00100101
0.52,00100110
0.54,00100111
0.55,00101000
0.58,00101001
0.61,00101010
0.67,00101011
0.68,00101100
0.71,00101101
0.72,00101110
0.79,00101111
0.86,00110000
0.89,00110001
0.96,00110010
0.98,00110011
1.04,00110100
1.11,00110101
1.22,00110110
1.36,00110111
1.42,00111000
1.77,00111001
17.71,00111010
1.97,00111011
2.08,00111100
2.21,00111101
2.72,00111110
3.54,00111111
35.42,01000000
3.94,01000001
4.43,01000010
7.08,01000011
8.85,01000100
